Gender,Age,Height,Weight,Physical exercise,BMR,Calories,Fat,SaturatedFat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein
0,18,142.53,104.7,4,1874.33,3441.31,95.12,28.56,219.49,1854.68,543.66,26.58,43.41,83.38
0,51,188.34,55.71,3,1401.46,2555.17,71.29,21.3,244.93,1815.59,444.67,27.42,34.82,48.0
0,23,166.59,87.38,1,1705.55,2358.98,65.42,19.71,200.35,1778.77,385.18,24.77,40.12,69.37
0,53,168.77,91.61,3,1691.42,3154.32,87.72,26.23,227.45,1982.17,489.96,26.84,38.36,91.38
0,54,175.3,114.91,1,1940.87,2753.0,76.43,22.92,230.69,1894.49,373.76,26.35,39.97,116.01
1,35,195.99,109.84,0,1992.46,2448.51,68.11,20.5,170.72,1882.47,373.61,24.59,42.83,87.74
0,13,181.31,83.73,3,1757.87,3103.17,86.33,26.0,257.86,2043.56,505.4,27.53,44.58,67.7
0,40,181.87,101.26,2,1952.17,2700.54,74.52,22.42,247.22,1862.69,414.07,24.19,39.22,81.8
1,57,167.95,48.74,2,1175.44,1786.16,49.83,14.92,208.51,1978.74,290.74,26.79,36.71,45.8
1,51,190.42,118.37,0,1960.96,2436.0,67.55,20.25,165.27,1901.77,350.28,26.37,38.94,116.9
1,77,174.66,70.2,4,1311.46,2319.24,64.18,19.08,180.22,1875.51,359.2,27.58,38.03,69.94
1,39,176.12,103.26,4,1882.18,3444.68,95.54,28.56,181.47,1902.24,565.86,28.37,38.72,83.51
0,48,177.96,60.48,4,1446.49,2682.03,74.45,22.38,255.53,2039.51,460.78,26.83,33.4,49.12
1,68,197.08,109.89,0,1797.4,2316.62,64.69,19.48,162.96,1805.75,322.39,28.11,40.83,109.09
1,56,166.3,83.6,3,1520.07,2865.38,79.81,23.95,175.07,2051.74,459.53,26.41,35.58,83.27
1,26,163.37,75.04,2,1548.02,2337.32,64.94,19.52,193.27,1843.88,376.61,28.31,38.99,60.25
0,50,182.31,77.75,3,1643.77,2776.05,77.04,23.16,236.07,1934.07,462.76,28.83,38.36,75.07
